entity_id,field-name,field-value
579664, "featurecla", "Land"
579664, "scalerank", "6"
579664, "min_zoom", "5.0"
776415, "featurecla", "Land"
776415, "scalerank", "6"
776415, "min_zoom", "6.0"
1186037, "featurecla", "Land"
1186037, "scalerank", "0"
1186037, "min_zoom", "1.0"
1488200, "scalerank", "***"
1488200, "min_zoom", "*****"
2032827, "featurecla", "Land"
2032827, "scalerank", "5"
2032827, "min_zoom", "0.5"
2151842, "featurecla", "Null island"
2151842, "scalerank", "100"
2151842, "min_zoom", "100.0"
2151904, "fid", "1"
2151904, "ID", "0"
2151904, "ELEV", "304.800000000000011"
2154158, "fid", "2"
2154158, "ID", "1"
2154158, "ELEV", "304.800000000000011"
2157348, "fid", "3"
2157348, "ID", "2"
2157348, "ELEV", "304.800000000000011"
2160358, "fid", "4"
2160358, "ID", "3"
2160358, "ELEV", "609.600000000000023"
2161711, "fid", "5"
2161711, "ID", "4"
2161711, "ELEV", "304.800000000000011"
2164901, "fid", "6"
2164901, "ID", "5"
2164901, "ELEV", "304.800000000000011"
2165390, "fid", "7"
2165390, "ID", "6"
2165390, "ELEV", "609.600000000000023"
2166311, "fid", "8"
2166311, "ID", "7"
2166311, "ELEV", "304.800000000000011"
2174037, "fid", "9"
2174037, "ID", "8"
2174037, "ELEV", "304.800000000000011"
2177587, "fid", "10"
2177587, "ID", "9"
2177587, "ELEV", "304.800000000000011"
2178112, "fid", "11"
2178112, "ID", "10"
2178112, "ELEV", "304.800000000000011"
2183930, "fid", "12"
2183930, "ID", "11"
2183930, "ELEV", "304.800000000000011"
2185067, "fid", "13"
2185067, "ID", "12"
2185067, "ELEV", "304.800000000000011"
2188185, "fid", "14"
2188185, "ID", "13"
2188185, "ELEV", "304.800000000000011"
2190511, "fid", "15"
2190511, "ID", "14"
2190511, "ELEV", "609.600000000000023"
2192513, "fid", "16"
2192513, "ID", "15"
2192513, "ELEV", "304.800000000000011"
2193146, "fid", "17"
2193146, "ID", "16"
2193146, "ELEV", "304.800000000000011"
2196120, "fid", "18"
2196120, "ID", "17"
2196120, "ELEV", "609.600000000000023"
2197437, "fid", "19"
2197437, "ID", "18"
2197437, "ELEV", "609.600000000000023"
2197926, "fid", "20"
2197926, "ID", "19"
2197926, "ELEV", "304.800000000000011"
2199171, "fid", "21"
2199171, "ID", "20"
2199171, "ELEV", "609.600000000000023"
2201209, "fid", "22"
2201209, "ID", "21"
2201209, "ELEV", "304.800000000000011"
2219988, "fid", "23"
2219988, "ID", "22"
2219988, "ELEV", "304.800000000000011"
2222026, "fid", "24"
2222026, "ID", "23"
2222026, "ELEV", "609.600000000000023"
2223019, "fid", "25"
2223019, "ID", "24"
2223019, "ELEV", "609.600000000000023"
2225129, "fid", "26"
2225129, "ID", "25"
2225129, "ELEV", "609.600000000000023"
